Part Type,Variant
Upper Shell,A
Upper Shell,B
Upper Shell,C
Upper Shell,D
Upper Shell,E
Upper Shell,F
Upper Shell,G
Lower Shell,A
Lower Shell,B
Lower Shell,C
Lower Shell,D
Lower Shell,E
Lower Shell,F
Lower Shell,G
Separation Disk,A
Separation Disk,B
Separation Disk,C
Separation Disk,D
Separation Disk,E
Separation Disk,F
Separation Disk,G
Weighted Cube,A
Central Button,A
Central Button,B
Decorator,A
Decorator,B
Decorator,C
Decorator,D
Decorator,E
Decorator,F
Decorator,G
Decorator,H
Decorator,I
Decorator,J
Decorator,K
Decorator,L
Decorator,M
Decorator,N
Decorator,O
Decorator,P
Decorator,Q
Decorator,R
Decorator,S
Decorator,T
Decorator,U
Decorator,V
