Ref High,Ref Low,Ref D_02,Ref EQ_01,Ref EQ_02,Test High,Test Low,Test D_02,Test EQ_01,Test EQ_02
7.66,4.45,4.57,5.22,3.98,7.8,4.42,4.58,5.21,4.05
7.59,4.46,4.6,5.14,4.06,7.8,4.4,4.65,5.13,3.96
7.66,4.42,4.51,5.08,3.95,7.85,4.47,4.68,5.15,3.85
7.63,4.38,4.6,5.08,3.92,7.84,4.42,4.63,5.2,3.79
7.7,4.39,4.5,5.11,3.97,7.85,4.38,4.61,5.1,3.76
7.67,4.38,4.56,5.11,3.85,7.79,4.42,4.62,5.07,3.73
7.82,4.38,4.5,5.17,3.75,7.89,4.45,4.7,5.08,3.77
7.51,4.35,4.6,5.06,3.96,7.8,4.44,4.66,5.08,3.81
7.6,4.48,4.57,5.13,3.99,7.79,4.44,4.68,5.14,3.8
7.57,4.46,4.58,5.09,3.86,7.85,4.42,4.63,5.06,3.72
7.75,4.52,4.6,5.21,3.83,7.8,4.43,4.56,5.1,3.75
7.67,4.45,4.61,5.07,4,7.86,4.4,4.6,5.13,3.82
7.66,4.4,4.55,5.11,3.95,7.9,4.45,4.6,5.13,3.86
7.7,4.39,4.61,5.11,3.8,7.84,4.43,4.58,5.11,3.81
7.63,4.43,4.53,5.21,3.85,7.85,4.43,4.58,5.17,3.81
7.64,4.45,4.51,5,3.8,7.78,4.42,4.59,5.18,3.84
7.59,4.42,4.47,5,3.91,7.79,4.44,4.59,5.16,3.76
7.55,4.41,4.55,5.15,3.82,7.77,4.4,4.59,5.09,3.84
7.54,4.41,4.57,5.14,3.93,7.68,4.46,4.58,5.09,3.77
7.5,4.4,4.53,5.03,3.88,7.74,4.39,4.59,5.08,3.85
7.62,4.39,4.5,5.01,3.9,7.82,4.4,4.62,5.13,3.73
7.59,4.4,4.46,5.05,3.77,7.81,4.49,4.58,5.06,3.69
7.22,4.45,4.51,5,3.78,7.69,4.4,4.58,5.11,3.78
7.56,4.4,4.51,5.01,3.76,7.73,4.36,4.66,5.1,3.71
7.52,4.39,4.52,4.97,3.8,7.72,4.43,4.67,5.13,3.88
7.52,4.39,4.49,5.01,3.82,7.73,4.41,4.67,5.13,3.82
7.54,4.41,4.52,5.04,3.82,7.81,4.38,4.74,5.11,3.92
7.52,4.38,4.51,5.07,3.72,7.78,4.43,4.68,5.13,3.77
7.54,4.38,4.52,5.04,3.93,7.76,4.43,4.65,5.16,3.85
7.51,4.38,4.56,5.05,3.89,7.71,4.4,4.64,5.11,3.9
7.62,4.36,4.57,5.03,3.93,7.74,4.36,4.63,5.09,3.8
7.57,4.36,4.51,5.06,3.79,7.71,4.38,4.64,5.06,3.83
